"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LHVPQCNE","book","1932","Lâm, Xuơn̛g Quang","Ngọc lộ kim bàn ,  [Fasc. 1]","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42425103","Des gouttes de rosée dans une urne en or","1932","2021-06-21 08:47:08","2021-06-21 08:47:08","2021-06-21 08:47:08","","","","","","","","","","","","Impr. Tam Tông","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1825","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357544669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92722HUZ","book","1930","Khuê Lạc Tử","Thuợn̛g-dế luận...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42411691","Dieu, essai. Caodaïsme","1930","2021-06-21 08:47:23","2021-06-21 08:47:23","2021-06-21 08:47:23","","","","","","","","","","","","Tam Tông","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1456","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35754390w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7FFBING","book","1932","Nguyễn, Hũư Ðắc","Ðạo đúc̛ kinh...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242410r","Sur la vertu","1932","2021-10-05 13:49:57","2021-10-05 13:49:57","2021-10-05 13:49:57","","71","","","","","","","","","","Bảo an thu ̛xã","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1817","Country: FR ill., couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357528062","","","","","Hoằng, Nhiên","Nguyễn, Hũư Ðắc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
